,cuenta,c_nombre,nivel,nsumasal
999,511020100000,Venta Cereal-Maíz Pringles         ,5,0.0
1000,511030000000,Girasol                            ,4,0.0
1001,511030100000,Venta Oleag.-Girasol Pringles      ,5,0.0
1002,511040000000,Avena                              ,4,0.0
1003,511040100000,Venta Cereal-Avena Pringles        ,5,0.0
1004,511050000000,Soja                               ,4,0.0
1005,511050100000,Venta Oleag.-Soja Pringles         ,5,0.0
1006,511060000000,Cebada                             ,4,0.0
1007,511060100000,Venta Cereal-Cebada pringles       ,5,0.0
1008,512000000000,Ganaderia                          ,3,0.0
1009,512010000000,Hacienda Vacuna                    ,4,0.0
1010,512010100000,Hacienda Vacuna Cría Pilla         ,5,0.0
1011,512010101000,Vaq.1-2 años - Cria                ,6,0.0
1012,512010102000,Terneras Cria - Pringles           ,6,0.0
1013,512010103000,Terneros Cria - Pringles           ,6,0.0
1014,512010104000,Vaca Cria - Pringles               ,6,0.0
1015,512010200000,Hacienda Vacuna Invernada Pilla    ,5,0.0
1016,512010201000,Novillos 1 a 2 años-Invernada      ,6,0.0
1017,512010202000,Novillos + 2 años-Invernada        ,6,0.0
1018,512010203000,Vaq. 1 a 2 años-Invernada          ,6,0.0
1019,512010204000,Novillos Capitalización-Pringles   ,6,0.0
1020,512010300000,Produc. Hacienda Vacuna - Pringles ,5,0.0
1021,512010400000,Resultado por Tenencia Pringles    ,5,0.0
1022,513000000000,Ventas Varias                      ,3,0.0
1023,513010000000,Ventas de Miel                     ,4,0.0
1024,514000000000,Ingresos Empresa Maquinaria        ,3,0.0
1025,515000000000,Producción Agrícola                ,3,0.0
1026,515010000000,Producción Trigo- Pringles         ,4,0.0
1027,515020000000,Producción Maiz - Pringles         ,4,0.0
1028,515030000000,Producción Girasol - Pringles      ,4,0.0
1029,515040000000,Producción  Soja - Pringles        ,4,0.0
1030,515050000000,Producción Trigo - Arrend.         ,4,0.0
1031,515060000000,Producción Cebada - Pringles       ,4,0.0
1032,520000000000,Otros Ingresos                     ,2,0.0
1033,521000000000,Descuentos Obtenidos               ,3,0.0
1034,522000000000,Diferencia Valuación Hacienda      ,3,0.0
1035,522010000000,Diferencia Valuación Hacienda Cria ,4,0.0
1036,522020000000,Diferencia Valuación Hacienda Inver,4,0.0
1037,522030000000,Diferencia Valuación Hac. Capitaliz,4,0.0
1038,523000000000,Cosecha                            ,3,0.0
1039,524000000000,Resultado por Tenencia             ,3,0.0
1040,525000000000,Recuperos                          ,3,0.0
1041,525010000000,Recupero de Gastos                 ,4,0.0
1042,530000000000,EGRESOS PRINGLES                   ,2,0.0
1043,531000000000,Gastos de Produccion y Comercializa,3,0.0
1044,531010000000,Agricolas                          ,4,0.0
1045,531010100000,Trigo Pilla                        ,5,0.0
1046,531010101000,Semilla-Trigo                      ,6,0.0
1047,531010102000,Labores Propias-Trigo              ,6,0.0
1048,531010103000,Labores Contratistas-Trigo         ,6,0.0
1049,531010104000,Fertilizantes-Trigo                ,6,0.0
1050,531010105000,"Herbicidas,Insecticidas,Fung.-Trigo",6,0.0
1051,531010106000,Cosecha Contratista-Trigo          ,6,0.0
1052,531010107000,Gastos de Comercilización-Trigo    ,6,0.0
1053,531010108000,Otros Gastos-Trigo                 ,6,0.0
1054,531010109000,CMV Trigo                          ,6,0.0
1055,531010110000,Costo Prod. Trigo- Pringles        ,6,0.0
1056,531010200000,Maiz Pilla                         ,5,0.0
1057,531010201000,Semilla-Maiz                       ,6,0.0
1058,531010202000,Labores Propias-Maiz               ,6,0.0
1059,531010203000,Labores Contratistas-Maiz          ,6,0.0
1060,531010204000,Fertilizantes-Maiz                 ,6,0.0
1061,531010205000,"Herbicidas,Insecticidas,Fung.-Maiz ",6,0.0
1062,531010206000,Cosecha Contratista-Maiz           ,6,0.0
1063,531010207000,Gastos de Comercialización-Maiz    ,6,0.0
1064,531010208000,Otros Gastos-Maiz                  ,6,0.0
1065,531010209000,CMV Maiz                           ,6,0.0
1066,531010210000,Costo Prod. Maiz - Pringles        ,6,0.0
1067,531010300000,Girasol Pilla                      ,5,0.0
1068,531010301000,Semilla-Girasol                    ,6,0.0
1069,531010302000,Labores Propias-Girasol            ,6,0.0
1070,531010303000,Labores Contratistas-Girasol       ,6,0.0
1071,531010304000,Fertilizantes-Girasol              ,6,0.0
1072,531010305000,"Herbicidas,Insecticidas,Fung.-Giras",6,0.0
1073,531010306000,Cosecha Contratista-Girasol        ,6,0.0
1074,531010307000,Gastos de Comercialización-Girasol ,6,0.0
1075,531010308000,Otros Gastos-Girasol               ,6,0.0
1076,531010309000,CMV Girasol                        ,6,0.0
1077,531010310000,Costo Prod. Girasol - Pringles     ,6,0.0
1078,531010400000,Soja Pilla                         ,5,0.0
1079,531010401000,Semilla-Soja                       ,6,0.0
1080,531010402000,Labores Propias-Soja               ,6,0.0
1081,531010403000,Labores Contratistas-Soja          ,6,0.0
1082,531010404000,Fertilizantes-Soja                 ,6,0.0
1083,531010405000,"Herbicidas,Insecticidas,Fung.-Soja ",6,0.0
1084,531010406000,Cosecha Contratista-Soja           ,6,0.0
1085,531010407000,Gastos de Comercialización-Soja    ,6,0.0
1086,531010408000,Otros Gastos-Soja                  ,6,0.0
1087,531010409000,CMV Soja                           ,6,0.0
1088,531010410000,Costo Prod. Soja - Pringles        ,6,0.0
1089,531010500000,Avena                              ,5,0.0
1090,531010501000,Semilla-Avena                      ,6,0.0
1091,531010502000,Labores Propias-Avena              ,6,0.0
1092,531010503000,Labores Contratistas-Avena         ,6,0.0
1093,531010504000,Fertilizantes-Avena                ,6,0.0
1094,531010505000,"Herbicidas,Insecticidas,Fung.-Avena",6,0.0
1095,531010506000,Cosecha Contratista-Avena          ,6,0.0
1096,531010507000,Gastos de Comercialización-Avena   ,6,0.0
1097,531010508000,Otros Gastos-Avena                 ,6,0.0
1098,531010509000,CMV Avena                          ,6,0.0
1099,531010600000,Trigo - Cpo Arrend.                ,5,0.0
1100,531010601000,Semilla - Trigo Cpo.Arrend.        ,6,0.0
1101,531010602000,Labores Propias - Trigo Cpo Arrend ,6,0.0
1102,531010603000,Labores Contratista-Trigo Cpo Arren,6,0.0
1103,531010604000,Fertilizante-Trigo Cpo Arrend.     ,6,0.0
1104,531010605000,"Herb.,Insect.Fung.-Trigo Cpo Arrend",6,0.0
1105,531010606000,Cosecha Contratista-Trigo Cpo Arren,6,0.0
1106,531010607000,Gastos de Comerc.-Trigo Cpo.Arrend.,6,0.0
1107,531010608000,Otros Gastos-Trigo Cpo Arrend.     ,6,0.0
1108,531010609000,CMV - Trigo Cpo Arrend.            ,6,0.0
1109,531010610000,Costo Prod.-Trigo cpo Arrend.      ,6,0.0
1110,531010700000,Girasol - Cpo Arrend.              ,5,0.0
1111,531010701000,Semilla - Girasol Cpo Arrend.      ,6,0.0
1112,531010702000,Labores Propias-Girasol Cpo Arrend ,6,0.0
1113,531010703000,Labores Contratista-Girasol Cpo Arr,6,0.0
1114,531010704000,Fertilizante - Girasol Cpo Arrend. ,6,0.0
1115,531010705000,Herb.Insec.Fung.-Girasol Cpo Arrend,6,0.0
1116,531010706000,Cosecha Contratista-Girasol Cpo Arr,6,0.0
1117,531010707000,Gastos Comerc.-Girasol Cpo Arrend  ,6,0.0
1118,531010708000,Otros Gastos-Girasol Cpo Arrend    ,6,0.0
1119,531010709000,CMV - Girasol Cpo Arrend           ,6,0.0
1120,531010710000,Costo Producc.-Girasol Cpo Arrend  ,6,0.0
1121,531010800000,Soja - Cpo Arrend.                 ,5,0.0
1122,531010801000,Semilla - Soja Cpo arrend.         ,6,0.0
1123,531010802000,Labores Propias - Soja Cpo arrend. ,6,0.0
1124,531010803000,Labores Contrat.-Soja Cpo Arrend.  ,6,0.0
1125,531010804000,Fertilizante - Soja Cpo Arrend.    ,6,0.0
1126,531010805000,Herb.Insec.Fung.-Soja Cpo Arrend.  ,6,0.0
1127,531010806000,Cosecha Contrat.-Soja Cpo arrend.  ,6,0.0
1128,531010807000,Gtos Comerc.-Soja Cpo arrend.      ,6,0.0
1129,531010808000,Otros Gtos-Soja Cpo Arrend.        ,6,0.0
1130,531010809000,CMV - Soja Cpo. Arrend.            ,6,0.0
1131,531010810000,Costo Producc.- Soja Cpo. Arrend.  ,6,0.0
1132,531010900000,Cebada                             ,5,0.0
1133,531010901000,Semilla - Cebada                   ,6,0.0
1134,531010902000,Labores Propias - Cebada           ,6,0.0
1135,531010903000,Labores Contrat. - Cebada          ,6,0.0
1136,531010904000,Fertilizante - Cebada              ,6,0.0
1137,531010905000,Herb.Insec.Fung.-Cebada            ,6,0.0
1138,531010906000,Cosecha Contrat-Cebada             ,6,0.0
1139,531010907000,Gtos Comerc.-Cebada                ,6,0.0
1140,531010908000,Otros Gtos.-Cebada                 ,6,0.0
1141,531010909000,CMV - Cebada Cpo. Arrend.          ,6,0.0
1142,531010910000,Costo Producc. - Cebada Cpo. Arrend,6,0.0
1143,531020000000,Ganaderos                          ,4,0.0
1144,531020100000,Hacienda Vacuna                    ,5,0.0
1145,531020101000,Hacienda Vacuna Cría Pilla         ,6,0.0
1146,531020101010,Personal Cria Pilla                ,7,0.0
1147,531020101020,Honorarios Veterinario Cria Pilla  ,7,0.0
1148,531020101030,Productos Vet.Cria Pilla           ,7,0.0
1149,531020101040,Gtos Mantenimiento Cria Pilla      ,7,0.0
1150,531020101050,Verdeos Invierno Cria Pilla        ,7,0.0
1151,531020101060,Verdeos Verano Cria Pilla          ,7,0.0
1152,531020101070,Labores Cria Pilla                 ,7,0.0
1153,531020101080,Suplementación Cria Pilla          ,7,0.0
1154,531020101090,Otros Gtos Cria Pilla              ,7,0.0
1155,531020101100,"Molinos,Tanques,bebederos-H.V.Cria ",7,0.0
1156,531020101110,Tranqueras y alambrados-H.V.Cría   ,7,0.0
1157,531020102000,Hacienda Vacuna Invernada Pilla    ,6,0.0
1158,531020102010,Productos Veterinarios-Invernada   ,7,0.0
1159,531020102020,Honorarios Veterinarios-Invernada  ,7,0.0
1160,531020102030,Conservación de Pasturas-Invernada ,7,0.0
1161,531020102040,Siembra Pasturas y Verdeos-Invernad,7,0.0
1162,531020102050,Gastos de Mantenimiento-Invernada  ,7,0.0
1163,531020102051,"Molinos,Tanques,Bebederos-Invernada",8,0.0
1164,531020102052,Mangas y Corrales-Invernada        ,8,0.0
1165,531020102053,Tranqueras y Alambrados-Invernada  ,8,0.0
1166,531020102060,Personal-Invernada                 ,7,0.0
1167,531020102070,"Suplementación,Rollos,granos-Invern",7,0.0
1168,531020102080,Labores-Invernada                  ,7,0.0
1169,531020102090,Verdeos Invierno y Verano-Invernada,7,0.0
1170,531020102100,Hacienda Cedida por otra activ.-Inv,7,0.0
1171,531020102110,Gastos de Comercialización-Invernad,7,0.0
1172,531020102120,Otros Gastos-Invernada             ,7,0.0
1173,531020103000,Hacienda Vacuna Capitalizada-Pringl,6,0.0
1174,531020104000,Costo de venta HV- Pringles        ,6,0.0
1175,531030000000,EMPRESA MAQUINARIA PILLA           ,4,0.0
1176,531030100000,Personal-Empresa Maquinaria        ,5,0.0
1177,531030200000,Reparaciones-Empresa Maquinaria    ,5,0.0
1178,531030300000,Repuestos y Acces.-Empresa Maquinar,5,0.0
1179,531030400000,Combustibles y Lub.-Empresa Maquina,5,0.0
1180,531030500000,Otros Gastos-Empresa Maquinaria    ,5,0.0
1181,532000000000,GASTOS DE ESTRUCTURA PILLA         ,3,0.0
1182,532010000000,Automotores repuestos y acces.-Estr,4,0.0
1183,532020000000,Automotores reparaciones-Estruc.   ,4,0.0
1184,532030000000,Combustibles                       ,4,0.0
1185,532030100000,Nafta-Estructura                   ,5,0.0
1186,532030200000,Gas-Oil-Estructura                 ,5,0.0
1187,532030300000,Gas-Estructura                     ,5,0.0
1188,532030400000,Energía Eléctrica-Estructura       ,5,0.0
1189,532040000000,Lubricantes Automotores-Estructura ,4,0.0
1190,532050000000,Mantenimiento Casco y Puesto-Estruc,4,0.0
1191,532060000000,Personal de Estructura             ,4,0.0
1192,532070000000,Manten-Calles e instalaciones      ,4,0.0
1193,532080000000,Asesoramiento Técnico-Estructura   ,4,0.0
1194,532090000000,Teléfonos-Estructura               ,4,0.0
1195,532100000000,Otros Gastos-Estructura            ,4,0.0
1196,532110000000,Manutención-Estructura             ,4,0.0
1197,533000000000,Gastos por Retribuciones           ,3,0.0
1198,534000000000,GASTOS FINANCIEROS PILLA           ,3,0.0
1199,534010000000,Gastos Financiac. Proveedores      ,4,0.0
1200,535000000000,GASTOS DE ADMINISTRACION PILLA     ,3,0.0
1201,535010000000,"Alquileres,Arrendamientos-Adm.     ",4,0.0
1202,535020000000,Libreria e Imprenta-Adm.           ,4,0.0
1203,535030000000,Suscripciones-Adm.                 ,4,0.0
1204,535040000000,Asesoramiento Contable y Administra,4,0.0
1205,535050000000,Seguros                            ,4,0.0
1206,535060000000,Peajes                             ,4,0.0
1207,535070000000,Otros Gastos-Adm.                  ,4,0.0
1208,535080000000,Gastos de Oficina                  ,4,0.0
1209,535090000000,Honorarios de Administrac.         ,4,0.0
1210,535100000000,Personal de Administración         ,4,0.0
1211,535110000000,Teléfono-Administración            ,4,0.0
1212,535120000000,Gastos Vehículos-Administac.       ,4,0.0
1213,535120100000,Service Vehículos-Adm.             ,5,0.0
1214,535120200000,Reparaciones Vehículos-Adm.        ,5,0.0
1215,535120300000,Repuestos Vehículos-Adm.           ,5,0.0
1216,535120400000,Combustibles y Lub.Vehículos-Adm.  ,5,0.0
1217,535120500000,Seguros Vehículos-Adm.             ,5,0.0
1218,535130000000,Viaticos Administ.-Pilla           ,4,0.0
1219,536000000000,Insumos de Apicultura              ,3,0.0
1220,537000000000,IMPUESTOS Y TASAS PILLA            ,3,0.0
1221,537010000000,Impuestos                          ,4,0.0
1222,537010100000,Impuesto Sellos                    ,5,0.0
1223,537010200000,Impuesto a las Ganancias           ,5,0.0
1224,537010300000,Impuesto a la Gananc.Minima Presunt,5,0.0
1225,537010400000,Impuesto a los Ing.rutos           ,5,0.0
